Produk_SK,Produk_ID_Sistem,Nama_Produk,Kategori_Utama,Sub_Kategori,Merk,Harga_Normal
1,PROD-001,Samsung Galaxy S24 Ultra,Elektronik,Handphone,Samsung,1950000
2,PROD-002,Kemeja Flanel Slim Fit,Fashion Pria,Pakaiaan,Lokal Brand,80000
3,PROD-003,Minyak Goreng Sawit 2L,Sembako,Bahan Pokok,Bimoli,38000
4,PROD-004,Buku Belajar Power BI untuk Pemula,Buku,Edukasi,Gramedia,55000
5,PROD-005,Lampu Bohlam LED 12W,elektronik,Penerangan,Philips,Rp 40.000
6,PROD-006,Whiskas Makanan Kucing Kering 1.2kg,Perawatan Hewan,Makanan Hewan,,20000
7,PROD-007,Sepatu Sneakers Canvas Low,Fashion Pria,Sepatu,Ventela,180000
8,PROD-008,Wajan Teflon Anti Lengket 24cm,Dapur,Peralatan Masak,Maxim,120000
9,PROD-009,Kopi Susu Gula Aren 1L ,Makanan & Minuman,Minuman,Kopi Lokal,75000
10,PROD-010,Keyboard Mechanical RGB,ELEKTRONIK,Aksesoris Komputer,Logitech,400000
2,PROD-002,Kemeja Flanel Slim Fit,Fashion Pria,Pakaian,Lokal Brand,80000
11,PROD-011,Hijab Segiempat Voal Premium,Fashion Wanita,Muslim Mode,Buttonscarves,100000
12,PROD-012,Susu Formula Anak 1+ 800g,Ibu & Anak,Kebutuhan Bayi,N/A,95000
13,PROD-013, Serum Wajah Vitamin C,Kecantikan,Perawatan Wajah,Somethinc,8000
14,PROD-014,Jas Hujan Ponco Pengendara Motor,Otomotif,Aksesoris Motor,Elephant,85000
15,PROD-015,Rak Dinding Minimalis Kayu,Home Living,Dekorasi,AestheticHome,25000
